filename,stage,IoU
S1_L12.jpg,1,0.9400861729832838
S1_L6.jpg,1,0.8269700260556941
S1_L7.jpg,1,0.8137397363268616
S1_L7.jpg,1,0.761646403282525
S1_L9.jpg,1,0.959765936653325
S1_R1.jpg,1,0.8752472439057875
S1_R1.jpg,1,0.8742862320748861
S1_R5.jpg,1,0.9582908562074981
S1_R8.jpg,1,0.9795489721528049
S2_L12.jpg,2,0.947373107538005
S2_L17.jpg,2,0.8996372763034274
S2_L3.jpg,2,0.9414563653976941
S2_L37.jpg,2,0.8962431978925858
S2_L37.jpg,2,0.8923560878578701
S2_L39.jpg,2,0.9068681778489921
S2_L39.jpg,2,0.9453631077540213
S2_L6.jpg,2,0.8357760001023417
S2_L6.jpg,2,0.8510252839838094
S2_R14.jpg,2,0.8906203580014219
S2_R14.jpg,2,0.8723741806265255
S2_R15.jpg,2,0.9592731774523372
S2_R16.jpg,2,0.9836583027008485
S2_R18.jpg,2,0.961948930154464
S2_R18.jpg,2,0.8665119811247678
S2_R22.jpg,2,0.8688032169348545
S2_R28.jpg,2,0.8775722810484962
S2_R41.jpg,2,0.8269698670743939
S2_R43.jpg,2,0.8651951771392762
S3_L21.jpg,3,0.9300377954275967
S3_R35.jpg,3,0.8861243216212993
S3_R35.jpg,3,0.9206753279532439
S3_R5.jpg,3,0.9586661149351159
S4_L17.jpg,4,0.973943981066164
S4_L17.jpg,4,0.9056904412076489
S4_R14.jpg,4,0.9112857206826842
S4_R14.jpg,4,0.9678692174077086
S4_R20.jpg,4,0.9400382478624281
S4_R20.jpg,4,0.8828130587479608
S4_R31.jpg,4,0.8808703939667711
S4_R31.jpg,4,0.9359959995529575
S4_R33.jpg,4,0.9517327750259531
S4_R33.jpg,4,0.9163141737839489
